payment_type,total_amount_mean,total_amount_std,tip_amount_max,tip_amount_min
0,29.133589897272206,17.057965364528062,40.0,-5.78
1,28.29844171709942,21.961931907412346,380.8,-64.66
2,23.034783453360415,20.681099003444658,55.79,0.0
3,10.50683515507962,32.222646364548204,270.3,-20.0
4,2.5534837973390996,34.03405380825567,99.88,-96.22
