city,price,property_type
Lahore,18500000,House
Lahore,20300000,House
Faisalabad,3450000,House
Karachi,7700000,House
Karachi,11200000,House
Faisalabad,26000,House
Faisalabad,6960000,House
Rawalpindi,6150000,House
Karachi,9800000,House
Islamabad,80000,House
Rawalpindi,11500000,House
Karachi,6300000,House
Karachi,275000,House
Karachi,310000,House
Faisalabad,6300000,House
Lahore,1700000,House
Islamabad,4150000,House
Islamabad,38800000,House
Lahore,8200000,House
Islamabad,4300000,House
Lahore,6800000,House
Islamabad,11000000,House
Karachi,7900000,House
Karachi,24000,House
Islamabad,13300000,House
Islamabad,273000,House
Lahore,39600000,House
Karachi,700000,House
Faisalabad,12500000,House
Karachi,12500000,House
Karachi,17500000,House
Lahore,8800000,House
Rawalpindi,34000,House
Islamabad,28000,House
Lahore,4150000,House
Karachi,9700000,House
Islamabad,5420000,House
Islamabad,475000,House
Islamabad,14500000,House
Faisalabad,22500000,House
Karachi,19900000,House
Faisalabad,80000,House
Islamabad,12800000,House
Rawalpindi,7700000,House
Islamabad,4250000,House
Rawalpindi,16200000,House
Rawalpindi,22500,House
Islamabad,15500,House
Lahore,16000000,House
Rawalpindi,15200000,House
Lahore,5250000,House
Rawalpindi,63000,House
Rawalpindi,13700000,House
Islamabad,13200000,House
Faisalabad,16000,House
Islamabad,6200000,House
Karachi,45000,House
Islamabad,426000,House
Lahore,1200000,House
Lahore,30600000,House
Islamabad,33500000,House
Islamabad,8200000,House
Karachi,3125000,House
Faisalabad,190000,House
Islamabad,12100000,House
Islamabad,340000,House
Faisalabad,1950000,House
Islamabad,18400000,House
Lahore,3495000,House
Lahore,20900000,House
Rawalpindi,6350000,House
Karachi,15000000,House
Faisalabad,7000000,House
Rawalpindi,100000,House
Islamabad,139000,House
Karachi,30500000,House
Karachi,22000,House
Rawalpindi,4400000,House
Islamabad,19200000,House
Faisalabad,2750000,House
Rawalpindi,18200000,House
Karachi,39900000,House
Rawalpindi,230000,House
Rawalpindi,5900000,House
Faisalabad,32500000,House
Islamabad,425000,House
Karachi,750000,House
Islamabad,9550000,House
Rawalpindi,33500000,House
Rawalpindi,6450000,House
Islamabad,9400000,House
Lahore,23600000,House
Islamabad,55000,House
Islamabad,27500000,House
Lahore,4700000,House
Lahore,13600000,House
Faisalabad,4100000,House
Karachi,1500000,House
Rawalpindi,20700000,House
Karachi,2750000,House
Islamabad,7200000,House
Faisalabad,23500000,House
Lahore,21000000,House
Karachi,32000000,House
Islamabad,30000,House
Karachi,95000,House
Faisalabad,18000,House
Karachi,6800000,House
Islamabad,5083000,House
Karachi,4200000,House
Karachi,6620000,House
Faisalabad,20200000,House
Rawalpindi,21000,House
Islamabad,17500,House
Karachi,32500000,House
Lahore,31000000,House
Islamabad,39500000,House
Islamabad,700000,House
Lahore,30800000,House
Karachi,17700000,House
Rawalpindi,3250000,House
Islamabad,285000,House
Karachi,9725000,House
Karachi,40300000,House
Karachi,80000,House
Islamabad,4800000,House
Rawalpindi,6200000,House
Lahore,8300000,House
Karachi,8700000,House
Lahore,3190000,House
Rawalpindi,54000,House
Islamabad,37000000,House
Rawalpindi,4800000,House
Islamabad,9300000,House
Lahore,4400000,House
Faisalabad,6470000,House
Islamabad,58000,House
Rawalpindi,29000000,House
Islamabad,57000,House
Karachi,39000,House
Karachi,460000,House
Islamabad,23800000,House
Islamabad,45000,House
Faisalabad,25000000,House
Lahore,29500000,House
Lahore,29000000,House
Faisalabad,3500000,House
Islamabad,8800000,House
Islamabad,17000,House
Rawalpindi,2450000,House
Islamabad,41000,House
Islamabad,118000,House
Rawalpindi,4750000,House
Lahore,5500000,House
Lahore,7200000,House
Islamabad,48000,House
Faisalabad,5250000,House
Rawalpindi,21500000,House
Islamabad,7100000,House
Islamabad,121000,House
Lahore,32000000,House
Faisalabad,2800000,House
Faisalabad,4900000,House
Rawalpindi,2900000,House
Rawalpindi,31600000,House
Rawalpindi,49000,House
Karachi,255000,House
Lahore,21700000,House
Karachi,21000000,House
Islamabad,16900000,House
Lahore,2999000,House
Islamabad,18000,House
Karachi,4700000,House
Karachi,335000,House
Karachi,8150000,House
Lahore,10300000,House
Rawalpindi,130000,House
Lahore,13900000,House
Karachi,500000,House
Lahore,9450000,House
Karachi,17000000,House
Rawalpindi,17500000,House
Faisalabad,13000000,House
Rawalpindi,9700000,House
Karachi,12000000,House
Islamabad,42000000,House
Rawalpindi,7800000,House
Karachi,25000,House
Lahore,4100000,House
Karachi,2900000,House
Rawalpindi,12900000,House
Lahore,4995000,House
Islamabad,28600000,House
Lahore,3775000,House
Rawalpindi,26000000,House
Karachi,42500000,House
Lahore,28300000,House
Faisalabad,24000,House
Faisalabad,8800000,House
Karachi,7250000,House
Karachi,27000000,House
Islamabad,8900000,House
Karachi,4250000,House
Karachi,1300000,House
Rawalpindi,18800000,House
Islamabad,66000,House
Rawalpindi,24000,House
Islamabad,24800000,House
Rawalpindi,5325000,House
Lahore,80000,House
Karachi,170000,House
Islamabad,9200000,House
Faisalabad,9900000,House
Lahore,9300000,House
Lahore,2850000,House
Rawalpindi,2850000,House
Rawalpindi,13900000,House
Islamabad,15800000,House
Karachi,21200000,House
Islamabad,105000,House
Karachi,9250000,House
Karachi,13000000,House
Lahore,11500000,House
Lahore,7500000,House
Lahore,29800000,House
Islamabad,11400000,House
Islamabad,4850000,House
Islamabad,15000000,House
Islamabad,28500000,House
Lahore,3600000,House
Rawalpindi,18000,House
Islamabad,38500000,House
Lahore,19600000,House
Karachi,225000,House
Karachi,220000,House
Faisalabad,120000,House
Karachi,14000000,House
Lahore,4600000,House
Lahore,8900000,House
Faisalabad,18000000,House
Faisalabad,45000,House
Faisalabad,9600000,House
Faisalabad,5300000,House
Karachi,9200000,House
Lahore,6350000,House
Lahore,4990000,House
Islamabad,110000,House
Lahore,15000000,House
Islamabad,26500000,House
Islamabad,3700000,House
Faisalabad,3050000,House
Rawalpindi,115000,House
Rawalpindi,14500000,House
Islamabad,170000,House
Faisalabad,5200000,House
Karachi,47000,House
Islamabad,3900000,House
Rawalpindi,4900000,House
Karachi,12300000,House
Lahore,4350000,House
Rawalpindi,8700000,House
Islamabad,1600000,House
Islamabad,34500000,House
Karachi,8500000,House
Lahore,43200000,House
Rawalpindi,35000,House
Karachi,240000,House
Rawalpindi,9200000,House
Lahore,11200000,House
Lahore,2450000,House
Lahore,5950000,House
Karachi,43000000,House
Karachi,1650000,House
Lahore,6550000,House
Karachi,11500000,House
Islamabad,14200000,House
Lahore,28900000,House
Faisalabad,22000000,House
Faisalabad,160000,House
Karachi,6100000,House
Rawalpindi,6600000,House
Karachi,14100000,House
Islamabad,14700000,House
Faisalabad,5000000,House
Islamabad,75000,House
Rawalpindi,33000,House
Faisalabad,5100000,House
Karachi,13900000,House
Karachi,185000,House
Rawalpindi,43000000,House
Islamabad,6000000,House
Faisalabad,4400000,House
Faisalabad,2650000,House
Lahore,14300000,House
Karachi,19800000,House
Karachi,46000,House
Lahore,22200000,House
Karachi,31000000,House
Lahore,15800000,House
Islamabad,5000000,House
Lahore,7300000,House
Lahore,26300000,House
Islamabad,10800000,House
Karachi,29800000,House
Karachi,4850000,House
Lahore,5000000,House
Rawalpindi,8000000,House
Karachi,11000000,House
Karachi,5100000,House
Faisalabad,23000,House
Islamabad,3100000,House
Rawalpindi,23000000,House
Rawalpindi,5000000,House
Karachi,105000,House
Lahore,15500000,House
Karachi,4800000,House
Lahore,9700000,House
Rawalpindi,2000000,House
Lahore,16700000,House
Islamabad,54000,House
Karachi,1000000,House
Karachi,215000,House
Lahore,16600000,House
Rawalpindi,5850000,House
Rawalpindi,125000,House
Lahore,12500000,House
Rawalpindi,5200000,House
Faisalabad,35000000,House
Karachi,27000,House
Rawalpindi,52000,House
Lahore,19700000,House
Karachi,19000000,House
Islamabad,100000,House
Karachi,32000,House
Islamabad,60000,House
Lahore,30500000,House
Karachi,4900000,House
Islamabad,9600000,House
Lahore,4690000,House
Faisalabad,3300000,House
Lahore,13300000,House
Rawalpindi,25500,House
Karachi,7525000,House
Karachi,23000,House
Karachi,22000000,House
Rawalpindi,6300000,House
Rawalpindi,7300000,House
Karachi,6243000,House
Islamabad,164000,House
Islamabad,25300000,House
Islamabad,7350000,House
Islamabad,1550000,House
Islamabad,23900000,House
Karachi,15500,House
Karachi,900000,House
Islamabad,250000,House
Faisalabad,20000000,House
Lahore,14400000,House
Lahore,31600000,House
Faisalabad,18500000,House
Karachi,11800000,House
Lahore,17600000,House
Faisalabad,17000,House
Lahore,2950000,House
Lahore,14200000,House
Islamabad,15300000,House
Islamabad,4450000,House
Faisalabad,3750000,House
Rawalpindi,13000000,House
Karachi,10500000,House
Faisalabad,70000,House
Lahore,5999000,House
Islamabad,270000,House
