,title_year,genres,total_voted_users,avg_voted_users,total_reviews,avg_reviews,movie_count
80,1994.0,Comedy|Drama|Romance,41310,41310.0,117.0,117.0,1
81,1994.0,Crime|Drama|Mystery|Thriller,45798,45798.0,94.0,94.0,1
82,1994.0,Documentary|Drama|Sport,18980,18980.0,74.0,74.0,1
83,1995.0,Action|Adventure|Comedy,21102,21102.0,169.0,169.0,1
84,1995.0,Action|Adventure|Fantasy,190786,190786.0,539.0,539.0,1
85,1995.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,81783,81783.0,283.0,283.0,1
86,1995.0,Action|Adventure|Mystery|Sci-Fi,34471,34471.0,147.0,147.0,1
87,1995.0,Action|Adventure|Romance|Thriller,55350,55350.0,180.0,180.0,1
88,1995.0,Action|Adventure|Sci-Fi|Thriller,144337,144337.0,309.0,309.0,1
89,1995.0,Action|Adventure|Thriller,199025,199025.0,416.0,416.0,1
90,1995.0,Action|Crime|Drama|Mystery|Thriller,48909,48909.0,166.0,166.0,1
91,1995.0,Adventure|Comedy,160321,160321.0,178.0,178.0,1
92,1995.0,Biography|Drama|History|Romance,2427,2427.0,27.0,27.0,1
93,1995.0,Comedy|Crime|Drama|Thriller,54650,54650.0,223.0,223.0,1
94,1995.0,Comedy|Drama|Romance,52132,26066.0,290.0,145.0,2
95,1995.0,Comedy|Romance,123390,123390.0,248.0,248.0,1
96,1995.0,Drama|Romance,54631,54631.0,192.0,192.0,1
97,1996.0,Action|Adventure|Drama|Sci-Fi|Thriller,97838,97838.0,286.0,286.0,1
98,1996.0,Action|Adventure|Drama|Thriller,197185,98592.5,496.0,248.0,2
99,1996.0,Action|Adventure|Fantasy,78343,78343.0,139.0,139.0,1
100,1996.0,Action|Adventure|Sci-Fi,430055,430055.0,856.0,856.0,1
101,1996.0,Action|Adventure|Thriller,300542,300542.0,378.0,378.0,1
102,1996.0,Action|Comedy,29621,29621.0,76.0,76.0,1
103,1996.0,Action|Comedy|Sci-Fi,172217,172217.0,405.0,405.0,1
104,1996.0,Action|Drama|Sci-Fi|Thriller,40346,40346.0,95.0,95.0,1
105,1996.0,Adventure|Animation|Comedy|Crime,42892,42892.0,154.0,154.0,1
106,1996.0,Adventure|Comedy,12278,12278.0,71.0,71.0,1
107,1996.0,Adventure|Drama,17859,17859.0,89.0,89.0,1
108,1996.0,Biography|Drama|Music|Romance,43013,43013.0,104.0,104.0,1
109,1996.0,Comedy|Drama|Romance,17121,8560.5,121.0,60.5,2
110,1996.0,Comedy|Drama|Thriller,122347,122347.0,345.0,345.0,1
111,1996.0,Comedy|Romance,6124,6124.0,55.0,55.0,1
112,1996.0,Comedy|Romance|Sci-Fi,111313,55656.5,180.0,90.0,2
113,1996.0,Comedy|Sport,219602,109801.0,474.0,237.0,2
114,1996.0,Drama,50781,25390.5,295.0,147.5,2
115,1996.0,Drama|History,8531,8531.0,57.0,57.0,1
116,1996.0,Drama|Romance,179120,89560.0,560.0,280.0,2
117,1996.0,Horror|Sci-Fi|Thriller,26051,26051.0,164.0,164.0,1
118,1997.0,Action,189855,189855.0,1018.0,1018.0,1
119,1997.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,36363,36363.0,256.0,256.0,1
120,1997.0,Action|Adventure|Horror|Thriller,73539,73539.0,271.0,271.0,1
121,1997.0,Action|Adventure|Romance|Sci-Fi|Thriller,52136,52136.0,184.0,184.0,1
122,1997.0,Action|Adventure|Sci-Fi,621636,310818.0,1294.0,647.0,2
123,1997.0,Action|Adventure|Thriller,211951,105975.5,605.0,302.5,2
124,1997.0,Action|Comedy|Crime,19774,19774.0,70.0,70.0,1
125,1997.0,Action|Crime|Romance|Thriller,60573,60573.0,248.0,248.0,1
126,1997.0,Action|Crime|Sci-Fi,8687,8687.0,62.0,62.0,1
127,1997.0,Action|Drama|Sci-Fi|Thriller,58227,58227.0,181.0,181.0,1
128,1997.0,Adventure|Animation|Fantasy,221552,221552.0,570.0,570.0,1
129,1997.0,Adventure|Biography|Drama|History|War,96385,96385.0,119.0,119.0,1
130,1997.0,Adventure|Comedy|Family|Mystery|Sci-Fi,403014,403014.0,289.0,289.0,1
131,1997.0,Biography|Drama|History|War,21606,21606.0,117.0,117.0,1
132,1997.0,Biography|Drama|Romance|Sport,5673,5673.0,37.0,37.0,1
133,1997.0,Comedy,32416,32416.0,138.0,138.0,1
134,1997.0,Comedy|Crime,183425,183425.0,425.0,425.0,1
135,1997.0,Comedy|Drama,7456,3728.0,159.0,79.5,2
136,1997.0,Comedy|Drama|Romance,224671,224671.0,470.0,470.0,1
137,1997.0,Comedy|Fantasy|Romance,220392,220392.0,243.0,243.0,1
138,1997.0,Comedy|Romance,98199,98199.0,169.0,169.0,1
139,1997.0,Crime|Drama|Thriller,62783,31391.5,214.0,107.0,2
140,1997.0,Drama,11622,11622.0,157.0,157.0,1
141,1997.0,Drama|Romance,793725,396862.5,2568.0,1284.0,2
142,1997.0,Drama|Sci-Fi|Thriller,220591,220591.0,641.0,641.0,1
143,1998.0,Action|Adventure,125219,125219.0,244.0,244.0,1
144,1998.0,Action|Adventure|Comedy|Drama|Music|Sci-Fi,5613,5613.0,102.0,102.0,1
145,1998.0,Action|Adventure|Comedy|Family|Sci-Fi,77415,77415.0,139.0,139.0,1
146,1998.0,Action|Adventure|Comedy|Romance,60910,60910.0,164.0,164.0,1
147,1998.0,Action|Adventure|Comedy|Romance|Thriller|Western,135404,135404.0,318.0,318.0,1
148,1998.0,Action|Adventure|Family|Sci-Fi|Thriller,58402,58402.0,370.0,370.0,1
149,1998.0,Action|Adventure|Sci-Fi|Thriller,322395,322395.0,1171.0,1171.0,1
150,1998.0,Action|Crime|Drama|History|Western,8309,8309.0,39.0,39.0,1
151,1998.0,Action|Drama|Romance|Sci-Fi|Thriller,135601,135601.0,493.0,493.0,1
152,1998.0,Biography|Comedy|Drama|Romance,80580,80580.0,375.0,375.0,1
153,1998.0,Biography|Drama|Sport,5841,5841.0,57.0,57.0,1
154,1998.0,Comedy,25176,12588.0,179.0,89.5,2
155,1998.0,Comedy|Drama,65205,21735.0,497.0,165.66666666666666,3
156,1998.0,Comedy|Drama|Fantasy|Romance,55749,55749.0,257.0,257.0,1
157,1998.0,Comedy|Drama|Romance,65117,32558.5,433.0,216.5,2
158,1998.0,Comedy|Family|Fantasy,74343,74343.0,98.0,98.0,1
159,1998.0,Comedy|Music|Romance,48458,48458.0,239.0,239.0,1
160,1998.0,Comedy|Romance,37885,37885.0,247.0,247.0,1
161,1998.0,Comedy|Sport,119450,119450.0,300.0,300.0,1
162,1998.0,Drama,23405,11702.5,187.0,93.5,2
163,1998.0,Drama|Fantasy|Romance,346990,115663.33333333333,1644.0,548.0,3
164,1998.0,Drama|Musical,2412,2412.0,40.0,40.0,1
165,1998.0,Drama|Mystery|Sci-Fi|Thriller,167331,83665.5,571.0,285.5,2
166,1998.0,Drama|Romance,18973,18973.0,162.0,162.0,1
167,1998.0,Drama|Romance|Western,32353,32353.0,263.0,263.0,1
168,1999.0,Action|Adventure|Comedy|Crime,181225,181225.0,784.0,784.0,1
169,1999.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,4682,4682.0,206.0,206.0,1
170,1999.0,Action|Adventure|Sci-Fi,14747,14747.0,338.0,338.0,1
171,1999.0,Action|Adventure|Thriller,157519,157519.0,683.0,683.0,1
172,1999.0,Action|Comedy|Crime|Thriller,60572,60572.0,144.0,144.0,1
173,1999.0,Action|Comedy|Fantasy|Sci-Fi,53970,53970.0,435.0,435.0,1
174,1999.0,Action|Comedy|Sci-Fi|Western,129601,129601.0,648.0,648.0,1
175,1999.0,Action|Crime|Romance|Thriller,88132,88132.0,274.0,274.0,1
176,1999.0,Comedy,95543,19108.6,847.0,169.4,5
177,1999.0,Comedy|Crime|Drama,5917,5917.0,71.0,71.0,1
178,1999.0,Comedy|Crime|Romance,38665,19332.5,239.0,119.5,2
179,1999.0,Comedy|Drama,215175,53793.75,660.0,165.0,4
180,1999.0,Comedy|Drama|Fantasy|Romance,11439,11439.0,190.0,190.0,1
181,1999.0,Comedy|Drama|Romance,442567,110641.75,1338.0,334.5,4
182,1999.0,Comedy|Drama|Romance|Sci-Fi,48621,48621.0,239.0,239.0,1
183,1999.0,Comedy|Romance,111514,27878.5,802.0,200.5,4
184,1999.0,Comedy|Romance|Thriller,27265,27265.0,321.0,321.0,1
185,1999.0,Drama,10413,10413.0,111.0,111.0,1
186,1999.0,Drama|History|Romance,31080,31080.0,217.0,217.0,1
187,1999.0,Drama|Mystery|Romance|Thriller,12375,12375.0,194.0,194.0,1
188,1999.0,Drama|Mystery|Thriller,723459,361729.5,2260.0,1130.0,2
189,1999.0,Drama|Romance,40174,20087.0,329.0,164.5,2
190,1999.0,Drama|Romance|Sport,26034,26034.0,226.0,226.0,1
191,1999.0,Drama|Thriller,6690,6690.0,83.0,83.0,1
192,1999.0,Drama|War,12601,12601.0,89.0,89.0,1
193,1999.0,Fantasy|Horror|Mystery|Thriller,58184,58184.0,805.0,805.0,1
194,1999.0,Horror|Sci-Fi|Thriller,8294,8294.0,160.0,160.0,1
195,2000.0,Action|Adventure|Comedy|Crime|Thriller,145350,145350.0,643.0,643.0,1
196,2000.0,Action|Adventure|Comedy|Western,96690,96690.0,293.0,293.0,1
197,2000.0,Action|Adventure|Drama|Thriller,182612,91306.0,1158.0,579.0,2
198,2000.0,Action|Adventure|Sci-Fi,518392,259196.0,2709.0,1354.5,2
199,2000.0,Action|Adventure|Thriller,302353,151176.5,1752.0,876.0,2
200,2000.0,Action|Comedy|Crime,66941,66941.0,148.0,148.0,1
201,2000.0,Action|Comedy|Crime|Romance,137377,137377.0,370.0,370.0,1
202,2000.0,Action|Crime|Drama,448,448.0,16.0,16.0,1
203,2000.0,Action|Crime|Drama|Thriller,26846,26846.0,193.0,193.0,1
204,2000.0,Action|Crime|Thriller,218341,218341.0,498.0,498.0,1
205,2000.0,Action|Drama|Romance,217740,217740.0,1641.0,1641.0,1
206,2000.0,Action|Mystery|Sci-Fi|Thriller,100001,100001.0,289.0,289.0,1
207,2000.0,Action|Sci-Fi|Thriller,47612,47612.0,348.0,348.0,1
208,2000.0,Action|War,65297,65297.0,602.0,602.0,1
209,2000.0,Adventure|Comedy|Crime|Music,225102,225102.0,862.0,862.0,1
210,2000.0,Adventure|Drama|Romance,398057,199028.5,1112.0,556.0,2
211,2000.0,Biography|Drama,695,695.0,32.0,32.0,1
212,2000.0,Comedy,306301,153150.5,847.0,423.5,2
213,2000.0,Comedy|Crime,10879,5439.5,116.0,58.0,2
214,2000.0,Comedy|Crime|Mystery,11768,11768.0,148.0,148.0,1
215,2000.0,Comedy|Drama,45184,15061.333333333334,340.0,113.33333333333333,3
216,2000.0,Comedy|Drama|Fantasy|Romance,85844,85844.0,322.0,322.0,1
217,2000.0,Comedy|Drama|Music|Romance,90539,90539.0,379.0,379.0,1
218,2000.0,Comedy|Drama|Romance,120439,17205.571428571428,1158.0,165.42857142857142,7
219,2000.0,Comedy|Fantasy,80639,80639.0,237.0,237.0,1
220,2000.0,Comedy|Fantasy|Romance,240752,120376.0,649.0,324.5,2
221,2000.0,Comedy|Mystery,116625,116625.0,469.0,469.0,1
222,2000.0,Comedy|Romance,23076,23076.0,158.0,158.0,1
223,2000.0,Comedy|Romance|Sci-Fi,39391,39391.0,171.0,171.0,1
224,2000.0,Comedy|Sport,130172,43390.666666666664,747.0,249.0,3
225,2000.0,Crime|Drama|Mystery|Sci-Fi|Thriller,81866,81866.0,510.0,510.0,1
226,2000.0,Drama,168866,84433.0,957.0,478.5,2
227,2000.0,Drama|Fantasy|Horror|Mystery|Thriller,98403,98403.0,683.0,683.0,1
228,2000.0,Drama|Fantasy|Sport,45296,45296.0,267.0,267.0,1
229,2000.0,Drama|History|Thriller,45231,45231.0,315.0,315.0,1
230,2000.0,Drama|Music,2794,2794.0,78.0,78.0,1
231,2000.0,Drama|Music|Romance,15817,15817.0,210.0,210.0,1
232,2000.0,Drama|Mystery|Sci-Fi|Thriller,245152,245152.0,1344.0,1344.0,1
233,2000.0,Drama|Mystery|Thriller,3668,3668.0,85.0,85.0,1
234,2000.0,Drama|Romance,177912,59304.0,840.0,280.0,3
235,2000.0,Drama|Romance|Sport,14322,14322.0,116.0,116.0,1
236,2000.0,Drama|Romance|Western,11388,11388.0,183.0,183.0,1
237,2000.0,Horror|Sci-Fi|Thriller,14596,14596.0,282.0,282.0,1
238,2001.0,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,72259,72259.0,788.0,788.0,1
239,2001.0,Action|Adventure|Comedy|Musical,11399,11399.0,131.0,131.0,1
240,2001.0,Action|Adventure|Drama|Fantasy,1238746,1238746.0,5060.0,5060.0,1
241,2001.0,Action|Adventure|Drama|Thriller|Western,4757,4757.0,67.0,67.0,1
242,2001.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,2253,2253.0,111.0,111.0,1
243,2001.0,Action|Adventure|Fantasy|Thriller,405061,202530.5,1714.0,857.0,2
244,2001.0,Action|Adventure|Romance,149859,74929.5,949.0,474.5,2
245,2001.0,Action|Adventure|Sci-Fi|Thriller,397226,198613.0,2604.0,1302.0,2
246,2001.0,Action|Comedy|Crime|Thriller,165871,82935.5,444.0,222.0,2
247,2001.0,Action|Comedy|Drama|War,2236,2236.0,40.0,40.0,1
248,2001.0,Action|Crime|Drama|Thriller,25558,25558.0,221.0,221.0,1
249,2001.0,Action|Crime|Thriller,272223,272223.0,988.0,988.0,1
250,2001.0,Action|Drama|History|Romance|War,254111,254111.0,1999.0,1999.0,1
251,2001.0,Action|Drama|Sport,34435,34435.0,346.0,346.0,1
252,2001.0,Action|Drama|Thriller|War,86902,86902.0,411.0,411.0,1
253,2001.0,Action|Sci-Fi|Thriller,77684,77684.0,294.0,294.0,1
254,2001.0,Action|Western,12077,12077.0,162.0,162.0,1
255,2001.0,Adventure|Comedy,93367,93367.0,497.0,497.0,1
256,2001.0,Adventure|Comedy|Drama,41664,41664.0,205.0,205.0,1
257,2001.0,Adventure|Comedy|Fantasy,30771,30771.0,164.0,164.0,1
258,2001.0,Adventure|Comedy|Romance|Sci-Fi,25541,25541.0,181.0,181.0,1
259,2001.0,Adventure|Drama|Sci-Fi,238747,238747.0,2153.0,2153.0,1
260,2001.0,Animation|Comedy|Fantasy,14280,14280.0,171.0,171.0,1
261,2001.0,Biography|Comedy|Drama,22447,22447.0,210.0,210.0,1
262,2001.0,Biography|Drama,610568,610568.0,1171.0,1171.0,1
263,2001.0,Comedy,201084,201084.0,523.0,523.0,1
264,2001.0,Comedy|Crime,23432,11716.0,184.0,92.0,2
265,2001.0,Comedy|Crime|Drama|Romance,57038,57038.0,261.0,261.0,1
266,2001.0,Comedy|Crime|Mystery|Romance,31798,31798.0,178.0,178.0,1
267,2001.0,Comedy|Crime|Romance,79395,26465.0,451.0,150.33333333333334,3
268,2001.0,Comedy|Drama|Fantasy|Romance,109445,109445.0,426.0,426.0,1
269,2001.0,Comedy|Drama|Romance|Sport,12993,12993.0,107.0,107.0,1
270,2001.0,Comedy|Fantasy,19079,19079.0,122.0,122.0,1
271,2001.0,Comedy|Fantasy|Romance,64595,64595.0,316.0,316.0,1
272,2001.0,Comedy|Fantasy|Sci-Fi,15130,15130.0,98.0,98.0,1
273,2001.0,Comedy|Music,18900,18900.0,242.0,242.0,1
274,2001.0,Comedy|Mystery|Romance,11693,11693.0,104.0,104.0,1
275,2001.0,Comedy|Romance,361440,60240.0,1841.0,306.8333333333333,6
276,2001.0,Comedy|Sci-Fi,47383,47383.0,132.0,132.0,1
277,2001.0,Comedy|Sport,14656,14656.0,90.0,90.0,1
278,2001.0,Crime|Drama|Mystery,983,983.0,63.0,63.0,1
279,2001.0,Crime|Drama|Mystery|Thriller,25462,25462.0,200.0,200.0,1
280,2001.0,Crime|Mystery|Thriller,21283,21283.0,190.0,190.0,1
281,2001.0,Crime|Thriller,402645,402645.0,845.0,845.0,1
282,2001.0,Documentary|Sport,10366,10366.0,88.0,88.0,1
283,2001.0,Drama,121937,121937.0,431.0,431.0,1
284,2001.0,Drama|Horror|Mystery|Thriller,7277,7277.0,181.0,181.0,1
285,2001.0,Drama|Musical|Romance,224013,224013.0,2319.0,2319.0,1
286,2001.0,Drama|Music|Romance,67288,33644.0,628.0,314.0,2
287,2001.0,Drama|Mystery,30339,30339.0,268.0,268.0,1
288,2001.0,Drama|Mystery|Sci-Fi,148490,148490.0,537.0,537.0,1
289,2001.0,Drama|Romance,91698,45849.0,443.0,221.5,2
290,2001.0,Drama|Sport,22649,22649.0,131.0,131.0,1
291,2001.0,Fantasy|Horror|Thriller,268581,268581.0,1109.0,1109.0,1
292,2002.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,270207,270207.0,606.0,606.0,1
293,2002.0,Action|Adventure|Comedy|Thriller,81322,40661.0,330.0,165.0,2
294,2002.0,Action|Adventure|Drama|Fantasy,1100446,1100446.0,2417.0,2417.0,1
295,2002.0,Action|Adventure|Drama|Romance|Thriller,104991,104991.0,544.0,544.0,1
296,2002.0,Action|Adventure|Fantasy|Romance,544665,544665.0,2012.0,2012.0,1
297,2002.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,107859,107859.0,569.0,569.0,1
298,2002.0,Action|Adventure|Fantasy|Thriller,102129,102129.0,432.0,432.0,1
299,2002.0,Action|Adventure|History,149414,149414.0,841.0,841.0,1
300,2002.0,Action|Adventure|Sci-Fi,103787,103787.0,615.0,615.0,1
301,2002.0,Action|Adventure|Sci-Fi|Thriller,58450,58450.0,842.0,842.0,1
302,2002.0,Action|Adventure|Thriller,317304,105768.0,2004.0,668.0,3
303,2002.0,Action|Comedy,67562,33781.0,697.0,348.5,2
304,2002.0,Action|Comedy|Crime,162909,162909.0,795.0,795.0,1
305,2002.0,Action|Comedy|Horror,43764,43764.0,291.0,291.0,1
306,2002.0,Action|Comedy|Sci-Fi,82261,41130.5,371.0,185.5,2
307,2002.0,Action|Crime|Thriller,249511,124755.5,592.0,296.0,2
308,2002.0,Action|Drama|Thriller,86504,86504.0,568.0,568.0,1
309,2002.0,Action|Mystery|Sci-Fi|Thriller,399651,399651.0,1331.0,1331.0,1
310,2002.0,Action|Mystery|Thriller,407601,407601.0,849.0,849.0,1
311,2002.0,Adventure|Drama|Romance|War,28130,28130.0,215.0,215.0,1
312,2002.0,Biography|Crime|Drama,525801,525801.0,667.0,667.0,1
313,2002.0,Biography|Drama,26493,26493.0,159.0,159.0,1
314,2002.0,Comedy,28805,28805.0,159.0,159.0,1
315,2002.0,Comedy|Crime,11211,11211.0,92.0,92.0,1
316,2002.0,Comedy|Crime|Musical,172080,172080.0,1017.0,1017.0,1
317,2002.0,Comedy|Crime|Thriller,17307,17307.0,186.0,186.0,1
318,2002.0,Comedy|Drama,62366,20788.666666666668,843.0,281.0,3
319,2002.0,Comedy|Drama|Music|Romance,34620,17310.0,245.0,122.5,2
320,2002.0,Comedy|Drama|Romance,212438,106219.0,633.0,316.5,2
321,2002.0,Comedy|Drama|Romance|Sport,95118,47559.0,478.0,239.0,2
322,2002.0,Comedy|Romance,335183,55863.833333333336,1347.0,224.5,6
323,2002.0,Crime|Drama|Mystery|Thriller,30077,30077.0,175.0,175.0,1
324,2002.0,Crime|Drama|Thriller,129566,64783.0,628.0,314.0,2
325,2002.0,Drama,55255,18418.333333333332,509.0,169.66666666666666,3
326,2002.0,Drama|Family,34232,34232.0,346.0,346.0,1
327,2002.0,Drama|Fantasy|Mystery|Romance|Thriller,31788,31788.0,243.0,243.0,1
328,2002.0,Drama|History|Thriller|War,49311,49311.0,278.0,278.0,1
329,2002.0,Drama|Horror|Mystery|Thriller,63677,63677.0,460.0,460.0,1
330,2002.0,Drama|Music|Mystery|Romance|Thriller,7909,7909.0,157.0,157.0,1
331,2002.0,Drama|Romance,154081,38520.25,1266.0,316.5,4
332,2002.0,Drama|Romance|Sport,26066,26066.0,216.0,216.0,1
333,2002.0,Drama|Sci-Fi|Thriller,271592,271592.0,2335.0,2335.0,1
334,2002.0,Drama|Thriller,16300,16300.0,217.0,217.0,1
335,2002.0,Horror,16747,16747.0,349.0,349.0,1
336,2002.0,Horror|Mystery|Thriller,10885,10885.0,271.0,271.0,1
337,2003.0,Action|Adventure|Comedy,81444,81444.0,192.0,192.0,1
338,2003.0,Action|Adventure|Comedy|Crime,100821,100821.0,554.0,554.0,1
339,2003.0,Action|Adventure|Comedy|Thriller,82731,82731.0,255.0,255.0,1
340,2003.0,Action|Adventure|Crime|Thriller,119807,119807.0,340.0,340.0,1
341,2003.0,Action|Adventure|Drama|Fantasy,1215718,1215718.0,3189.0,3189.0,1
342,2003.0,Action|Adventure|Drama|History|War,168207,168207.0,684.0,684.0,1
343,2003.0,Action|Adventure|Drama|War,17725,17725.0,157.0,157.0,1
344,2003.0,Action|Adventure|Fantasy,912221,456110.5,2429.0,1214.5,2
345,2003.0,Action|Adventure|Fantasy|Sci-Fi,141533,141533.0,786.0,786.0,1
346,2003.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,405973,405973.0,1055.0,1055.0,1
347,2003.0,Action|Adventure|Sci-Fi,53057,53057.0,457.0,457.0,1
348,2003.0,Action|Adventure|Sci-Fi|Thriller,77029,77029.0,466.0,466.0,1
349,2003.0,Action|Comedy|Crime|Thriller,31293,31293.0,254.0,254.0,1
350,2003.0,Action|Comedy|Fantasy,72185,36092.5,312.0,156.0,2
